LENSEGUA,ESPAÑOL
por favor tu estufa apagar,Por favor apaga la estufa.
precio cuánto pregunta,¿Cuánto cuesta?
precio entrar cuánto pregunta,¿Cuánto cuesta la entrada?
prima ingeniería estudiar,Mi prima estudia ingeniería.
prima piano tocar bien mucho,Mi prima toca el piano muy bien.
problema cuál pregunta,¿Cuál es el problema?
profesor llegar cuándo pregunta,¿Cuándo llega el profesor?
profesora amable,La profesora es amable.
reciclar importante para ambiente cuidar,Reciclar es importante para cuidar el ambiente.
recordar pasado tu casa visitar yo ver perro,Recuerdo que visité tu casa y vi un perro.
reloj sirve no,El reloj no sirve.
restaurante dónde pregunta,¿Dónde está el restaurante?
restaurante lleno,El restaurante está lleno.
restaurante mesera hamburguesa servir,La mesera sirve una hamburguesa en el restaurante.
restaurante nombre pregunta,¿Cómo se llama el restaurante?
restaurante opciones comida tener mucho,El restaurante tiene muchas opciones de comida.
restaurante tu ensalada gustar pregunta,¿Te gusta la ensalada del restaurante?
restaurante tu favorito cuál pregunta,¿Cuál es tu restaurante favorito?
restaurante yo poder encontrar no,No puedo encontrar el restaurante.
sábados hermano fútbol jugar,Mi hermano juega fútbol los sábados.
seguro tu dirección correcta tener,Estás seguro que tienes la dirección correcta.
semana pasada yo laptop nueva comprar,La semana pasada compré una laptop nueva.
serpiente tuya pregunta,¿Es tuya la serpiente?
sordo banco poder trabajar si o no pregunta,¿Puede trabajar un sordo en un banco?
sordomudo decir no sordo decir sí,No se dice sordomudo se dice sordo.
sordos vida difícil mucho,La vida de los sordos es muy difícil.
supermercado dónde pregunta,¿Dónde está el supermercado?
supermercado madre fruta comprar,Mi madre compra fruta en el supermercado.
supermercado tu ir y leche comprar,Ve al supermercado y compra leche.
supermercado tu sushi gustar pregunta,¿Te gusta el sushi del supermercado?
tal vez baños haber no,Tal vez no hay baños.
tal vez comida haber no,Tal vez no hay comida.
tal vez ella fiesta llegar,Tal vez ella llegue a la fiesta.
tal vez futuro hospital yo ir,Tal vez vaya al hospital.
tal vez futuro yo tiempo libre tener no,Tal vez no tenga tiempo libre.
tal vez mañana llover,Tal vez mañana llueva.
tal vez tiempo haber no,Tal vez no hay tiempo.
té gustar pero café preferir,Me gusta el té pero prefiero el café.
televisor dónde pregunta,¿Dónde está el televisor?
tiempo libre amiga poemas escribir,Mi amiga escribe poemas en su tiempo libre.
tienda abierta estar,La tienda está abierta.
tienda nombre pregunta,¿Cómo se llama la tienda?
tienda pan vender,La tienda vende pan.
tienda ropa tener descuentos,La tienda de ropa tiene descuentos.
tienda vendedor zapatos mostrar,El vendedor muestra zapatos de la tienda.
tío doctor ser,Mi tío es un doctor.
tío granja vivir,Mi tío vive en una granja.
todas las tardes parque niños jugar,Los niños juegan en el parque todas las tardes.
todo el día yo comer no,No comí en todo el día.
todos los días ella yoga practicar,Ella practica yoga todos los días.
todos los días supermercado abrir,El supermercado abre todos los días.
todos los días tu estudiar,Estudias todos los días.
todos los días yo televisión ver no,No veo televisión todos los días.
todos los martes él natación practicar,Él practica natación los martes.
trabajo pagar poco,El trabajo paga poco.
tren salida hora pregunta,¿A qué hora sale el tren?
tu agua beber hoy pregunta,¿Bebiste agua hoy?
tu agua calentar antes tu bañar,Calienta el agua antes de bañarte.
tu amable pero amigos tener mucho no,Eres amable pero no tienes muchos amigos.
tu amiga quién pregunta,¿Quién es tu amiga?
tu animal favorito cuál pregunta,¿Cuál es tu animal favorito?
tu aniversario cuándo pregunta,¿Cuándo es tu aniversario?
tu año cuánto pregunta,¿Cuántos años tienes?
tu aprender cómo pregunta,¿Cómo aprendiste?
tu aprender cuándo pregunta,¿Cuándo aprendiste?
tu aprender dónde pregunta,¿Dónde aprendiste?
tu ayudar abuela calle cruzar,Ayuda a tu abuela a cruzar la calle.
tu ayudar hermano su tarea,Ayuda a tu hermano con su tarea.
tu beber qué pregunta,¿Qué bebes?
tu bicicleta nueva pregunta,¿Es nueva tu bicicleta?
tu bicicleta saber manejar pregunta,¿Sabes manejar bicicleta?
tu bicicleta tener pregunta,¿Tienes bicicleta?
tu bomberos llamar,Llama a los bomberos.
tu cansado estar pregunta,¿Estás cansado?
tu carro haber pregunta,¿Tienes carro?
tu carro poder pregunta,¿Puedes manejar carro?
tu casa dónde pregunta,¿Dónde está tu casa?
tu cena dónde pregunta,¿Dónde vas a cenar?
tu chuleta gustar pregunta,¿Te gusta la chuleta?
tu clima revisar antes tu salir,Revisa el clima antes de salir.
tu cocinar qué pregunta,¿Qué cocinas?
tu color favorito cuál pregunta,¿Cuál es tu color favorito?
tu comer qué pregunta,¿Qué comes?
tu comida favorita cuál pregunta,¿Cuál es tu comida favorita?
tu comprar qué pregunta,¿Qué compras?
tú computadora poder arreglar pregunta,¿Puedes arreglar la computadora?
tu corazón bien tener,Tienes un buen corazón.
tu correo electrónico revisar,Revisa tu correo electrónico.
tu creer bien o mal pregunta,¿Crees que está bien o mal?
tu cuaderno escribir revisar antes examen,Revisa tus notas antes del examen.
tu cuarto limpiar ahora,Limpia tu cuarto ahora.
tu cuchillos jugar no,No juegues con cuchillos.
tu cuidado tener cuando escaleras subir,Ten cuidado cuando subas las escaleras.
tu cumpleaños cuándo pregunta,¿Cuándo es tu cumpleaños?
tu decir qué pregunta,¿Qué dices?
tu deporte practicar cuál pregunta,¿Cuál deporte practicas?
tu desayunar bien antes tu trabajar,Desayuna bien antes de trabajar.
tu descansar si cansado sentir,Descansa si te sientes cansado.
tu dinero ahorrar para casa comprar,Ahorra dinero para comprar una casa.
tu dinero ahorrar para viajar,Ahorra dinero para viajar.
tu dinero guardar para emergencias,Guarda dinero para emergencias.
tu dinero prestar yo pregunta,¿Me prestas dinero?
tu dinero tener pregunta,¿Tienes dinero?
tu doctor bien pero amable no,Eres buen doctor pero no eres amable.
tu dormir dónde pregunta,¿Dónde duermes?
tu ejercicio hacer para salud mejor,Haz ejercicio para mejorar tu salud.
tu emergencias llamar ahora,Llama a emergencias ahora mismo.
tu enfermedad tener,Estás enfermo.
tu ensalada gustar no pregunta,¿No te gusta la ensalada?
tu entrada comprar antes tu cine ir,Compra la entrada antes de ir al cine.
tu escritorio organizar antes tu estudiar,Organiza tu escritorio antes de estudiar.
tu estar cómo pregunta,¿Cómo estás?
tu estar enojado pregunta,¿Estás enojado?
tu estar ocupado pregunta,¿Estás ocupado?
tu estudiar dónde pregunta,¿Dónde estudias?
tu estudiar mucho para examen ganar,Estudia mucho para ganar el examen.
tu estudiar para examen mañana,Estudia para el examen de mañana.
tu estudiar qué pregunta,¿Qué estudias?
tu examen bien mal cómo pregunta,¿Cómo te fue en el examen?
tu extraños hablar no,No hables con extraños.
tu familia vivir dónde pregunta,¿Dónde vive tu familia?
tu frío tener,Tienes frío.
tu fuego apagar,Apaga el fuego.
tu fuego jugar no,No juegues con fuego.
tu fumar no,No fumes.
tu graduación cuándo pregunta,¿Cuándo es tu graduación?
tu guardar comer,Guarda la comida.
tu hablar despacio por favor,Habla despacio por favor.
tu hablar no mientras tu comer,Mientras comas no hables.
tu hablar señas despacio porque yo entender rápido no,Habla despacio en señas porque no entiendo rápido.
tu hacer qué pregunta,¿Qué haces?
tu hambre tener,Tienes hambre.
tu hermana años tener cuánto pregunta,¿Cuántos años tiene tu hermana?
tu hermana dónde pregunta,¿Dónde está tu hermana?
tu hermana mayor hijos tener pregunta,¿Tiene hijos tu hermana mayor?
tu hermana tener pregunta,¿Tienes una hermana?
tu hermano dónde pregunta,¿Dónde está tu hermano?
tu hermano estudiar dónde pregunta,¿Dónde estudia tu hermano?
tu hija gustar leer pregunta,¿A tu hija le gusta leer?
tu hijo gustar leer pregunta,¿A tu hijo le gusta leer?
tu idea opinar qué pregunta,¿Qué opinas de esta idea?
tu idiomas saber cuántos pregunta,¿Cuántos idiomas sabes?
tu importante resaltar mientras tu leer,Mientras lees resalta lo importante.
tu información encontrar dónde pregunta,¿Dónde encontraste esa información?
tu informe presentar ya pregunta,¿Ya presentaste tu informe?
tu inglés hablar pregunta,¿Hablas inglés?
tu instrucciones leer antes empezar,Lee las instrucciones antes de empezar.
tu inteligente mucho,Eres muy inteligente.
tu ir dónde pregunta,¿A dónde vas?
tu jugar guardar,Guarda tus juguetes.
tu juguetes compartir amigos,Comparte tus juguetes con tus amigos.
tu lapiz tener pregunta,¿Tienes un lápiz?
tu libro escoger para leer,Escoge un libro para leer.
tu libro leer antes tu dormir,Lee un libro antes de dormir.
tu libro leer yo prestar pasado,Lee el libro que te presté.
tu libros tener cuántos pregunta,¿Cuántos libros tienes?
tu lista hacer para nada olvidar,Haz una lista para no olvidar nada.
tu llaves guardar dónde pregunta,¿Dónde guardaste las llaves?
tu llorar no mientras tu gritar,Mientras grites no llores.
tu luz apagar antes tu dormir,Apaga la luz antes de dormir.
tu luz encender por favor,Por favor enciende la luz.
tu maestra nombre pregunta,¿Cómo se llama tu maestra?
tu manos lavar antes comer,Lávate las manos antes de comer.
tu manos lavar antes tu comer,Lávate las manos antes de comer.
tu manzanas gustar pregunta,¿Te gustan las manzanas?
tu medicinas tomar puntual,Toma tus medicinas puntualmente.
tu mejor esfuerzo hacer,Haz tu mejor esfuerzo.
tu mentir mamá no,No le mientas a tu mamá.
tu mirar yo mientras tu hablar,Mientras hablas mírame.
tu mochila abrir para libro sacar,Abre tu mochila para sacar el libro.
tu músculo estirar para problemas evitar,Estira los músculos para evitar lesiones.
tu música cantar,Canta una canción.
tu música escuchar,Escuchas música.
tu nacer dónde pregunta,¿Dónde naciste?
tu necesitar comprar qué pregunta,¿Qué necesitas comprar?
tu nombre cuál pregunta,¿Cuál es tu nombre?
tu nombre escribir aquí,Escribe tu nombre aquí.
tu nombre pregunta,¿Cómo te llamas?
tu novio nombre pregunta,¿Cómo se llama tu novio?
tu olvidar no televisión apagar ,No olvides apagar la televión.
tu olvidar no tu llave,No olvides tu llave.
tu opciones analizar antes tu decidir,Analiza las opciones antes de decidir.
tu opinión cuál pregunta,¿Cuál es tu opinión?
tu padre trabajar pregunta,¿Tu padre trabaja?
tu pagar yo primero después yo enseñar tu,Primero págame y después te enseño.
tu papá años tener cuánto pregunta,¿Cuántos años tiene tu papá?
tu papá llamar ya pregunta,¿Ya llamaste a tu papá?
tu pasaporte guardar dónde pregunta,¿Dónde guardaste tu pasaporte?
tu película querer ver cuál pregunta,¿Cuál película quieres ver?
tu peluche guardar dónde pregunta,¿Dónde guardaste tu peluche?
tu pensar bien antes tu hablar,Piensa bien antes de hablar.
tu pensar qué pregunta,¿Qué piensas tu?
tu perro nombre pregunta,¿Cómo se llama tu perro?
tu perro raza cuál pregunta,¿Cuál es la raza de tu perro?
tu pizza comer pregunta,¿Comiste pizza ayer?
tu policías llamar,Llama a los policías.
tu pollo querer pregunta,¿Quieres pollo?
tu precio investigar antes tu comprar,Investiga los precios antes de comprar.
tu profesor nombre pregunta,¿Cómo se llama tu profesor?
tu proyecto pensar qué pregunta,¿Qué piensas del proyecto?
tu puerta abrir no,No abras la puerta.
tu puerta cerrar antes tu salir,Cierra la puerta antes de salir.
tu querer comer qué pregunta,¿Qué quieres comer?
tu querer poder avisar yo,Si quieres puedes avisarme.
tu querer qué pregunta,¿Qué quieres?
tu querer visitar dónde pregunta ,¿Dónde quieres visitar?
tu reglas seguir mientras tu jugar,Mientras juegas sigue las reglas.
tu reloj bonito comprar dónde pregunta,¿Dónde compraste el reloj bonito?
tu revista leer mientras tu esperar,Mientras esperas lee una revista.
tu robar yo lapiz pregunta,¿Te robaste mi lápiz?
tu salir no mientras llover,Mientras llueve no salgas.
tu sed tener,Tienes sed.
tu sentir cómo pregunta,¿Cómo te sientes?
tu sentir feliz pregunta,¿Te sientes feliz?
tu silencio hacer para molestar no,Haz silencio para no molestar.
tu situación pensar qué pregunta,¿Qué piensas de la situación?
tu sueño tener,Tienes sueño.
tu tarea hacer para aprender más,Haz la tarea para aprender más.
tu teléfono nuevo pregunta,¿Tu teléfono es nuevo?
tu teléfono prestar yo pregunta,¿Me prestas tu teléfono?
tu teléfono usar no mientras tu cocinar,Mientras cocinas no uses el teléfono.
tu teléfono usar no mientras tu estudiar,Mientras estudias no uses el teléfono.
tu tener estudiar pregunta,¿Tienes que estudiar?
tu tener yo cartera pregunta,¿Tu tienes mi cartera?
tu tiempo libre hacer qué pregunta,¿Qué haces en tu tiempo libre?
tu tiempo necesitar cuánto pregunta,¿Cuánto tiempo necesitas?
tu timbre tocar no,No toques el timbre.
tu tocar no estufa caliente,No toques la estufa caliente.
tu trabajar dónde pregunta,¿Dónde trabajas?
tu trabajar duro para sueños alcanzar,Trabaja duro para alcanzar tus sueños.
tu trabajo llegar temprano siempre,Tu siempre llegas temprano al trabajo.
tu trabajo tener pregunta,¿Tienes trabajo?
tu trabajo terminar antes salir,Termina tu trabajo antes de salir.
tu venir aquí ahora rápido,Ven aquí inmediatamente.
tu ventana abrir para aire entrar,Abre la ventana para que entre aire.
tu ventana cerrar,Cierra la ventana.
tu vivir dónde pregunta,¿Dónde vives?
tu vivir lejos,Tu vives lejos.
tu ya título tener pregunta,¿Ya tienes tu título?
tu yo diferente opinión,Tu y yo tenemos opiniones diferentes.
universidad ella arquitectura estudiar,Ella estudia arquitectura en la universidad.
universidad hermana medicina estudiar,Mi hermana estudia medicina en la universidad.
universidad profesor presentación hacer,El profesor hace una presentación en la universidad.
universidad tu estudiar cuál pregunta,¿En cuál universidad estudias?
vecino gato blanco tener,Mi vecino tiene un gato blanco.
vecinos amable mucho,Mis vecinos son muy amables.
vestido gustar,Me gusta ese vestido.
vestido precio cuánto pregunta,¿Cuánto cuesta el vestido?
viajar gustar pero miedo volar,Me gusta viajar pero me da miedo volar.
viernes yo amigos salir,Mis amigos y yo salimos los viernes.
vuelo salida hora pregunta,¿A qué hora sale el vuelo?
yer yo película divertida ver,Ayer vi una película divertida.
yo aeropuerto ir,Voy al aeropuerto.
yo alfabeto internacional usar no,No uso el alfabeto internacional.
yo bien,Yo estoy bien.
yo bomberos llamar por error,Llamé a los bomberos por error.
yo café caliente gustar no,No me gusta el café caliente.
yo café gustar no porque amargo,No me gusta el café porque es amargo.
yo calle conocer no,No conozco esa calle.
yo calor gustar no,No me gusta el calor.
yo carne comer no,No como carne.
yo carro tener no,No tengo carro.
yo casa cambiar pronto,Me voy a mudar pronto.
yo casa ir,Voy a casa.
yo casa rentar pero pagar no porque trabajo no,Rento una casa pero no puedo pagar porque no trabajo.
yo chocolate gustar,Me gusta el chocolate.
yo clínica ir,Voy a la clínica. 
yo comida luz agua preocupar,La comida la luz y el agua me preocupan.
yo conocer él no,No lo conozco. 
yo conocer ella,Sí la conozco. 
yo correr después descansar,Corro y después descanso.
yo desayuno cocinar,Cocino el desayuno.
yo dinero tener no para comprar,No tengo dinero para comprar.
yo encontrar cartera no,No encuentro mi cartera.
yo encontrar lentes no,No encuentro mis lentes.
yo encontrar teléfono no,No encuentro mi teléfono.
yo energía querer tener más,Quiero tener más energía.
yo enfermar porque frío mucho,Me enfermé porque hacía mucho frío.
yo entender tema díficil,Entiendo que es un tema difícil.
yo frío gustar no,No me gusta el frío.
yo fútbol gustar no,No me gusta el fútbol.
yo gatos gustar no,No me gustan los gatos.
yo hacer tarea,Estoy haciendo tarea.
yo hermanos tener no,No tengo hermanos.
yo hospital ir,Voy al hospital.
yo juego ganar querer,Quiero ganar el juego.
yo leche fría tomar,Yo tomo leche fría.
yo lentes dónde pregunta,¿Dónde están mis lentes?
yo libro dónde pregunta,¿Dónde está mi libro?
yo libro favorito cuál pregunta,¿Cuál es mi libro favorito?
yo libro leer no,No he leído ese libro.
yo libro poder encontrar no,No puedo encontrar mi libro.
yo lluvia gustar no,No me gusta la lluvia.
yo manos lavar siempre,Siempre me lavo las manos.
yo mercado ir,Voy al mercado.
yo no entender,No entiendo.
yo no entender nuevo señas,No entiendo las nuevas señas.
yo paciencia querer tener más,Quiero tener más paciencia.
yo pasaporte dónde pregunta,¿Dónde está mi pasaporte?
yo persona conocer no,No conozco a esa persona.
yo pescado gustar no,No me gusta el pescado.
yo piano gustar tocar,Me gusta tocar el piano.
yo picante gustar no,No me gusta el picante.
yo playa ir,Voy a la playa.
yo problema entender no,No entiendo este problema.
yo psicólogo necesitar,Necesito un psicólogo.
yo querer cantar pero poder no,Quiero cantar pero no puedo.
yo querer comprar pero caro,Quiero comprarlo pero está caro.
yo querer comprar pero caro mucho,Quiero comprarlo pero está muy caro.
yo querer estudiar pero aburrido,Quiero estudiar pero estoy aburrido.
yo querer más tiempo leer,Quiero tener más tiempo para leer.
yo respuesta saber,Yo sé la respuesta.
yo saber no actividad poder ir,No sé si pueda ir a la actividad.
yo saber no ahora emergencia si o no,No sé si esto es una emergencia.
yo saber no casa hermana estar,No sé si mi heramana está en su casa.
yo saber no cómo hospital llegar,No sé cómo llegar al hospital.
yo saber no doctor entender pasado yo decir,No sé si el doctor entendió lo que le dije.
yo saber no dónde tienda estar,No sé dónde está la tienda.
yo saber no español hablar,No sé hablar en español.
yo saber no futuro él reunión venir,No sé si él vendrá a la reunión.
yo saber no futuro tu venir,No sé si tu vendrás.
yo saber no futuro yo colegio poder encontrar,No sé si podré encontrar el colegio.
yo saber no inglés hablar,No sé hablar en inglés.
yo saber no llamar bomberos,No sé llamar a los bomberos.
yo saber no máquina usar,No sé usar la máquina.
yo saber no nadar,No sé nadar.
yo saber no parque poder ir,No sé si puedo ir al parque.
yo saber no piano tocar,No sé tocar el piano.
yo saber no poder ayudar,No sé si puedo ayudar.
yo saber no tu música gustar,No sé si te gusta la música.
yo saber no tu nombre,No sé tu nombre.
yo saber no yo dirección tener bien,No sé si tengo la dirección correcta.
yo salir no porque sol mucho,No salgo porque hay mucho sol.
yo sano querer ser más,Quiero ser más saludable.
yo sopa pollo gustar mucho,La sopa de pollo me gusta mucho.
yo sordo escuchar música no,Soy sordo no escucho música.
yo sordo escuchar no,Soy sordo no escucho.
yo sordo escuchar radio no,Soy sordo no escucho la radio.
yo sordo tener trabajo no poco comida,Soy sordo no tengo trabajo y tengo poca comida.
yo tarea tener mucho,Tengo mucha tarea.
yo tarea terminar,Estoy terminando la tarea.
yo tarea terminar todavía no,Aún no he terminado mi tarea.
yo teléfono responder no porque teléfono robar,No respondí el teléfono porque me lo robaron.
yo tema matemáticas entender no,No entiendo este tema de matemáticas.
yo temprano levantar gustar no,No me gusta levantarme temprano.
yo tener tiempo no para descansar,No tengo tiempo para descansar.
yo tiempo libre querer tener más,Quiero tener más tiempo libre.
yo tiempo tener no para cine ir,No tengo tiempo para ir al cine.
yo tiempo tener no para ir comprar,No tengo tiempo para ir a comprar.
yo trabajar no,Yo no trabajo.
yo verdad decir,Digo la verdad.
zoológico niño mono ver,El niño ve un mono en el zoológico.
zoológico tigre tener pregunta,¿El zoológico tiene un tigre?